RI,Na,Al,Ca,Type
1.51592,12.86,2.12,7.97,BuildWindows-NonFloat
1.51594,13.09,1.55,8.05,BuildWindows-NonFloat
1.51409,14.25,2.08,7.08,BuildWindows-NonFloat
1.51625,13.36,1.49,8.21,BuildWindows-NonFloat
1.51569,13.24,1.47,8.03,BuildWindows-NonFloat
1.51645,13.4,1.52,8.08,BuildWindows-NonFloat
1.51618,13.01,1.48,8.12,BuildWindows-NonFloat
1.5164,12.55,1.87,8.08,BuildWindows-NonFloat
1.51841,12.93,1.11,8.96,BuildWindows-NonFloat
1.51605,12.9,1.45,8.27,BuildWindows-NonFloat
1.51588,13.12,1.58,8.39,BuildWindows-NonFloat
1.5159,13.24,1.47,8.22,BuildWindows-NonFloat
1.51629,12.71,1.49,8.24,BuildWindows-NonFloat
1.5186,13.36,1.43,8.6,BuildWindows-NonFloat
1.51841,13.02,1.06,9.13,BuildWindows-NonFloat
1.51743,12.2,1.16,8.9,BuildWindows-NonFloat
1.51689,12.67,1.71,8.54,BuildWindows-NonFloat
1.51811,12.96,1.43,8.79,BuildWindows-NonFloat
1.51655,12.75,1.44,8.79,BuildWindows-NonFloat
1.5173,12.35,1.63,9.23,BuildWindows-NonFloat
1.5241,13.83,1.17,10.79,BuildWindows-NonFloat
1.52475,11.45,1.88,13.24,BuildWindows-NonFloat
1.53125,10.73,2.1,13.3,BuildWindows-NonFloat
1.53393,12.3,1,16.19,BuildWindows-NonFloat
1.52222,14.43,1,11.52,BuildWindows-NonFloat
1.51818,13.72,0.56,10.99,BuildWindows-NonFloat
1.52664,11.23,0.77,14.68,BuildWindows-NonFloat
1.52739,11.02,0.75,14.96,BuildWindows-NonFloat
1.52777,12.64,0.67,14.4,BuildWindows-NonFloat
1.51892,13.46,1.26,8.21,BuildWindows-NonFloat
1.51847,13.1,1.19,8.43,BuildWindows-NonFloat
1.51846,13.41,1.33,8.28,BuildWindows-NonFloat
1.51829,13.24,1.41,8.31,BuildWindows-NonFloat
1.51708,13.72,1.81,7.88,BuildWindows-NonFloat
1.51673,13.3,1.53,8.03,BuildWindows-NonFloat
1.51652,13.56,1.47,7.96,BuildWindows-NonFloat
1.51844,13.25,1.32,8.42,BuildWindows-NonFloat
1.51663,12.93,1.62,8.03,BuildWindows-NonFloat
1.51687,13.23,1.48,8.1,BuildWindows-NonFloat
1.51707,13.48,1.71,7.99,BuildWindows-NonFloat
1.52177,13.2,1.15,8.52,BuildWindows-NonFloat
1.51872,12.93,1.56,8.55,BuildWindows-NonFloat
1.51667,12.94,1.26,8.6,BuildWindows-NonFloat
1.52081,13.78,1.43,9.85,BuildWindows-NonFloat
1.52068,13.55,1.67,9.57,BuildWindows-NonFloat
1.5202,13.98,1.63,10.56,BuildWindows-NonFloat
1.52177,13.75,1.36,11.14,BuildWindows-NonFloat
1.52614,13.7,1.36,13.44,BuildWindows-NonFloat
1.51813,13.43,1.18,8.15,BuildWindows-NonFloat
1.518,13.71,1.54,8.21,BuildWindows-NonFloat
1.51811,13.33,1.25,8.12,BuildWindows-NonFloat
1.51789,13.19,1.3,8.44,BuildWindows-NonFloat
1.51806,13,1.08,8.38,BuildWindows-NonFloat
1.51711,12.89,1.57,8.11,BuildWindows-NonFloat
1.51674,12.79,1.54,7.9,BuildWindows-NonFloat
1.51674,12.87,1.64,7.99,BuildWindows-NonFloat
1.5169,13.33,1.61,8.11,BuildWindows-NonFloat
1.51851,13.2,1.07,8.41,BuildWindows-NonFloat
1.51662,12.85,1.44,8.23,BuildWindows-NonFloat
1.51709,13,1.79,8.18,BuildWindows-NonFloat
1.5166,12.99,1.23,8.81,BuildWindows-NonFloat
1.51839,12.85,1.24,8.68,BuildWindows-NonFloat
1.51769,13.65,1.11,8.6,VehicleWindows-Float
1.5161,13.33,1.34,8.33,VehicleWindows-Float
1.5167,13.24,1.38,8.44,VehicleWindows-Float
1.51643,12.16,1.35,8.53,VehicleWindows-Float
1.51665,13.14,1.76,8.38,VehicleWindows-Float
1.52127,14.32,0.83,9.49,VehicleWindows-Float
1.51779,13.64,0.65,8.93,VehicleWindows-Float
1.5161,13.42,1.22,8.32,VehicleWindows-Float
1.51694,12.86,1.31,8.79,VehicleWindows-Float
1.51646,13.04,1.26,8.58,VehicleWindows-Float
1.51655,13.41,1.28,8.65,VehicleWindows-Float
1.52121,14.03,0.58,9.65,VehicleWindows-Float
1.51776,13.53,1.52,8.79,VehicleWindows-Float
1.51796,13.5,1.63,8.81,VehicleWindows-Float
1.51832,13.33,1.54,8.99,VehicleWindows-Float
1.51934,13.64,0.75,8.89,VehicleWindows-Float
1.52211,14.19,0.91,9.14,VehicleWindows-Float
